key,found,label,first_level,parents
234095009,1,Lymphatic malformation,Clinical finding,"276654001,3305006"
64324003,1,Phlegmonous dacryocystitis,Clinical finding,85777005
275481002,1,Non-suppurative otitis media,Clinical finding,65363002
267289003,1,Obstetric nipple infection,Clinical finding,"200364001,237462004"
230425004,1,Lafora disease,Clinical finding,267581004
17433009,1,Ruptured ectopic pregnancy,Clinical finding,"34801009,417163006"
87065009,1,Dystrophia unguium,Clinical finding,"17790008,362975008"
77038006,1,Tuberculosis of peripheral lymph nodes,Clinical finding,"10893003,363175000"
234947003,1,Tooth disorder,Clinical finding,"105995000,278544002,76712006"
312771007,1,Disorder of vitreous body and/or retina,Clinical finding,128536001
126616000,1,Neoplasm of muscle,Clinical finding,"129565002,300848003,55342001"
40600002,1,Pneumococcal bronchitis,Clinical finding,"16814004,233795005,312119006,32398004"
106136008,1,Memory finding,Clinical finding,373930000
14189004,1,Measles,Clinical finding,74325003
309527000,1,Mass of lower limb,Clinical finding,"116312005,248519003"
102466009,1,Increased susceptibility to infections,Clinical finding,102465008
92439006,1,Benign neoplasm of thyroid gland,Clinical finding,"127018007,92085000,92246000"
71959007,1,Elective mutism,Clinical finding,64161004
10519008,0,,,64161004
370967009,1,Retinoblastoma,Clinical finding,"255046005,735916009"
279020002,1,Pain in male genitalia,Clinical finding,"162138001,249230006"
37356005,1,Myoclonic seizure,Clinical finding,"127324008,4619009"
193004006,1,Epileptic automatism,Clinical finding,79631006
102892007,1,Neglected appearance,Clinical finding,79565000
29164008,1,Disturbance in speech,Clinical finding,106132005
191169008,1,Hereditary elliptocytosis,Clinical finding,"234409003,276654001,363070008,38911009,42601008"
58262005,1,Kwashiorkor,Clinical finding,238107002
167019000,1,Blood gases normal,Clinical finding,"1144789007,442082004"
13206009,1,Trachea displaced,Clinical finding,47125007
93291001,1,Congenital hypoplasia of rib,Clinical finding,123572006
365462008,1,Level of interest - finding,Clinical finding,365441007
109675004,1,Oroantral fistula,Clinical finding,"1156269004,195787006,20674003"
398656003,1,Acquired hypomelanotic disorder,Clinical finding,"23006000,267819003"
48661000,1,Peritonitis,Clinical finding,"363169009,66579008"
95552009,1,Fibrosis of mesentery,Clinical finding,"53619000,95550001"
126485001,1,Urticaria,Clinical finding,"404177007,95322002"
278037002,1,Streptococcal cellulitis,Clinical finding,"402929007,85769006"
300352008,1,Murphy's sign positive,Situation with explicit context,373573001
106005003,1,Hypertension AND/OR vomiting complicating pregnancy childbirth AND/OR puerperium,Clinical finding,198609003
46826000,1,Rheumatic chorea,Clinical finding,"58718002,724548002"
276202003,1,Infection due to Clostridium tetani,Clinical finding,56688005
425919003,1,Chronic organic mental disorder,Clinical finding,"111479008,128293007,78689005"
243860001,1,Diabetic monitoring status,Clinical finding,243851009
55444004,1,Transient neonatal neutropenia,Clinical finding,"1156296001,123724007,2704003,414023003"
92308005,1,Benign neoplasm of prostate,Clinical finding,"126906006,92153000,92207002,92285007"
47252008,1,Alteration in patterns of urinary elimination,Clinical finding,"106019003,300470007"
84116009,1,Compression injury of nerve,Clinical finding,"299735001,417746004,57182000"
33129002,1,Postmastectomy lymphedema syndrome,Clinical finding,"299210006,440121002,449620005"
266601003,1,Excessive and frequent menstruation,Clinical finding,"386692008,52754008"
127337006,1,Acute heart disease,Clinical finding,"128487001,56265001"
236094005,1,Gastric anastomotic hemorrhage,Clinical finding,"236092009,61401005"
68158006,1,Cycloplegia,Clinical finding,"29426003,54552008"
2622007,1,Infected ulcer of skin,Clinical finding,"108365000,46742003"
363070008,1,Developmental hereditary disorder,Clinical finding,"32895009,5294002"
111379007,1,Mineral deficiency,Clinical finding,238111008
297960002,1,Mass of skin,Clinical finding,"106076001,300862005,444905003,714974000"
27624003,1,Chronic disease,Clinical finding,64572001
363496003,1,Malignant tumor of soft tissue of abdomen,Clinical finding,"126611005,188366002,269469005"
719848005,1,Disorder caused by alcohol,Clinical finding,87858002
39912006,1,Hereditary spastic paraplegia,Clinical finding,"106018006,192949002,192967009,48522003"
410813000,1,Contracture of palmar fascia,Clinical finding,"118933004,239953001,26077002,299033004,312225001"
197821004,1,Ureteric polyp,Clinical finding,"128073008,271860004,300857009,441456002"
95421005,1,Intercostal myalgia,Clinical finding,"102588006,281245003,68962001"
128189008,1,Mononeuropathy,Clinical finding,302226006
246973008,1,Sclera and episclera finding,Clinical finding,246915008
785810000,1,Synucleinopathy,Clinical finding,80690008
58557008,1,Spina bifida aperta,Clinical finding,"249491000119100,67531005,81042008"
165479004,1,Poikilocytosis,Clinical finding,365621008
95847005,1,Injury of muscle,Clinical finding,"129565002,417163006"
77628002,1,Retinal vasculitis,Clinical finding,"31996006,399463004,57534004"
167740005,1,CSF: glucose decreased,Clinical finding,"365815007,51798006"
32572006,1,Physical handicap,Clinical finding,29962006
57148006,1,Congenital anomaly of brain,Clinical finding,"128124001,81308009,87290003"
65340007,1,Aneurysm of heart,Clinical finding,"128599005,432119003"
72123004,1,Poverty of speech,Clinical finding,289198005
234128000,1,Ectactic vein,Clinical finding,"248495005,90507008"
94864000,1,Neoplasm of uncertain behavior of head,Clinical finding,"118616009,126631009"
49808004,1,Old-age,Clinical finding,248280005
82576008,1,Retained foreign body in eye,Clinical finding,"11131000119108,142661000119102,787018009"
129893005,1,Respiratory alteration,Clinical finding,106048009
609125008,1,Acquired sensorineural hearing loss,Clinical finding,"60700002,721294001"
13370002,1,Plantar fascial fibromatosis,Clinical finding,"240025005,312225001,363229000,410812005,94843004,95097008"
312378004,1,Lower limb arterial embolus,Clinical finding,"286959000,373408007"
25658005,1,Disorder of vagina,Clinical finding,"244938009,248870002,310789003"
406586005,1,Herpes virus infection of the central nervous system,Clinical finding,"23513009,302810003"
371983001,1,Primary malignant neoplasm of endocrine gland,Clinical finding,"371982006,372087000"
253199003,1,Congenital malformation of the meninges,Clinical finding,"128124001,15758002"
167183007,1,Creatinine clearance-glomerular filtration abnormal,Clinical finding,442096005
396559007,1,Necrotic tumor,Clinical finding,370111000
75236001,1,Anorectal abscess,Clinical finding,"426867001,49298003,735425008"
249529000,1,Passage of meconium,Clinical finding,300383007
44729001,1,Chronic inflammation of orbit,Clinical finding,"128294001,95770005"
65209002,1,Basophilia,Clinical finding,"1157254007,165528007"
106169008,1,"Aphasia, agnosia, dyslexia AND/OR apraxia",Clinical finding,102957003
274531002,1,Abnormal findings diagnostic imaging heart+coronary circulat,Clinical finding,168501001
36963005,1,Pedal osteitis,Clinical finding,"118932009,299558001,45930006"
102499006,1,Fit and well,Clinical finding,"365275006,82832008"
55608001,1,Prurigo simplex,Clinical finding,64144002
10552002,1,Calcification of lung,Clinical finding,"19829001,301232003,6595006"
235832002,1,Hollow visceral neuropathy,Clinical finding,85919009
239928004,0,,,85919009
6456007,1,Supraventricular tachycardia,Clinical finding,"6285003,72654001"
53773002,1,Mucocele of appendix,Clinical finding,"18526009,235771005,446064000"
430051000124107,1,Meningoencephalitis caused by virus,Clinical finding,"34476008,58170007,7125002"
37389005,1,Biliary colic,Clinical finding,9991008
418317006,1,Height above average,Clinical finding,248327008
125666000,1,Burn,Clinical finding,417746004
78349008,1,Umbilical bleeding,Clinical finding,"131148009,21829004,249537008"
64226004,1,Colitis,Clinical finding,"128524007,302168000"
84706005,1,Disease due to Nematoda,Clinical finding,27601005
27362007,1,Dyslogia,Clinical finding,106170009
33719002,1,Subcutaneous rheumatoid nodule,Clinical finding,"128041002,201789001,239953001,363168001,95325000"
168887008,1,Hysterosalpingogram abnormal,Clinical finding,"168501001,441687008,441988000"
105612003,1,Injury of internal organ,Clinical finding,"406123005,417163006"
238945000,1,Diffuse cutaneous mucinosis,Clinical finding,402721001
415073005,1,Perinatal disorder,Clinical finding,414025005
365921005,1,Weight change finding,Clinical finding,365910001
128353007,1,Congenital anomaly of lens,Clinical finding,"10810001,429448005"
20022000,1,Hemiparesis,Clinical finding,"23853001,609557004"
48694002,1,Anxiety,Clinical finding,106126000
204342004,1,Congenital atresia of pulmonary valve,Clinical finding,"123656005,204339005,719955006"
36406009,1,Cross infection,Clinical finding,40733004
389088001,1,Hypoxia of brain,Clinical finding,"389086002,81308009"
126944002,1,Brain damage due to hypoxia,Clinical finding,"127294003,301766008"
49120005,1,Retroperitoneal fibrosis,Clinical finding,"128071005,363170005"
34997001,1,Petrositis,Clinical finding,"118945008,274144001,363176004"
276661002,1,Primary osteoporosis,Clinical finding,64859006
110986000,1,Acquired digital fibrokeratoma,Clinical finding,"128597007,363227003,400063003,786894002"
94602001,1,Secondary malignant neoplasm of vertebral column,Clinical finding,"363438000,94183005"
723125008,1,Epileptic encephalopathy,Clinical finding,19598007
422282000,1,Malignant neoplasm associated with AIDS,Clinical finding,"363346000,420721002"
762250009,1,Congenital anomaly of great vessel,Clinical finding,400159008
70452003,1,Anomaly of chromosome pair 22,Clinical finding,362984008
312116004,1,Bacterial infection of the nervous system,Clinical finding,"128116006,87628006"
17204006,1,Pneumoperitoneum,Clinical finding,"118948005,399902003"
89097000,1,Labyrinthine fistula,Clinical finding,"20425006,33391000119104,428794004"
166921001,1,Blood glucose normal,Clinical finding,"102659003,365812005"
25822001,1,Pachymeningitis,Clinical finding,7180009
34014006,1,Viral disease,Clinical finding,40733004
95454007,1,Brain stem hemorrhage,Clinical finding,"449020009,95640005"
27621000119100,1,Labyrinthine hydrops,Clinical finding,"118654009,20425006"
253363004,1,Abnormality of atrial septum,Clinical finding,"128599005,870575001"
3507004,1,Abscess of thigh,Clinical finding,"128135006,309576006,315596001"
11301000119103,1,Maxillary anomaly,Clinical finding,128234004
103781000119103,1,Allergic bronchopulmonary mycosis,Clinical finding,"205237003,420881009,424199006,735445000"
78501000119105,1,Lipoma of skin and subcutaneous tissue,Clinical finding,"300862005,400186008,80659006,92069005,93163002"
15973541000119106,1,Congenital deformity of right lower limb,Clinical finding,"451421000124102,84773003"
95880003,1,Soft tissue infection,Clinical finding,"19660004,40733004"
302941001,1,Nonunion of fracture,Clinical finding,281466008
61277005,1,Accelerated idioventricular rhythm,Clinical finding,49260003
290653008,1,Postpartum hypopituitarism,Clinical finding,"51742006,59572000,80113008,87536007"
55346003,1,Loosening of associations,Clinical finding,41435003
4359001,1,Early congenital syphilis (less than 2 years),Clinical finding,35742006
192775006,1,Late effects of intracranial abscess or pyogenic infection,Clinical finding,194457007
362972006,1,Disorder of labor / delivery,Clinical finding,64572001
199132007,1,Pregnancy-related glycosuria,Clinical finding,"198609003,267430007"
123569004,1,Congenital anomaly of metatarsal bone,Clinical finding,"253966001,299558001,8447006"
721585006,1,Sexually transmissible infection caused by Herpes simplex virus,Clinical finding,"8098009,88594005"
373425009,1,Corneal endotheliitis,Clinical finding,"246966003,5888003"
15238002,1,Esophageal bleeding,Clinical finding,"37372002,37657006"
406619001,1,Infection due to Toxocara,Clinical finding,84706005
246875002,1,Conjunctival finding,Clinical finding,"128145008,246869006,246912006,248402002"
83035003,1,Chylothorax,Clinical finding,60046008
128091003,1,Primary ITP (immune thrombocytopenia),Clinical finding,"2897005,85828009"
95323007,1,Scleredema,Clinical finding,"17417006,34319007"
123995008,1,Increased carbohydrate,Clinical finding,"442756004,785671009"
58459009,1,Sphingomyelin/cholesterol lipidosis,Clinical finding,"10741005,11455007,238028008,85995004"
89392001,1,Prader-Willi syndrome,Clinical finding,"700364009,722944006,782964007,82354003"
372016004,1,Primary malignant neoplasm of the peritoneum,Clinical finding,"363492001,94050001"
9733003,1,Duodenogastric reflux,Clinical finding,"118434000,118435004,709493000"
87557004,1,Urge incontinence of urine,Clinical finding,450841000
52954000,1,Schizoid personality disorder,Clinical finding,16805009
302810003,1,Viral infection of central nervous system,Clinical finding,"128117002,34014006"
298714005,1,Finding of movement of thorax,Clinical finding,"116276002,366456006"
249562008,1,Bowel finding,Clinical finding,"249561001,386618008"
395183000,1,Subperiosteal hematoma,Clinical finding,"22780006,300861003,385494008"
22447003,1,Raised jugular venous pressure,Clinical finding,366163001
38831007,1,Splenosis,Clinical finding,141701000119101
733316000,1,Disorder of anterior uveal tract,Clinical finding,"128535002,95678007"
65668001,1,Otorrhea,Clinical finding,"25906001,300132001"
282756002,1,Jaw injury,Clinical finding,"37156001,82271004"
192644005,1,Meningococcal meningitis,Clinical finding,"23511006,425887005"
233604007,1,Pneumonia,Clinical finding,"205237003,95436008"
77956009,1,Steinert myotonic dystrophy syndrome,Clinical finding,"11164009,193225000,193237003"
43353004,1,Congenital anomaly of inner ear,Clinical finding,"232297009,275259005"
70190001,1,Peritoneal adhesion,Clinical finding,"239953001,66579008"
49710005,1,Sinus bradycardia,Clinical finding,"17366009,421869004"
197166005,1,Rectal abscess,Clinical finding,"111367007,24557004,248523006,5964004"
299566005,1,Finding of musculoskeletal structure of toe,Clinical finding,"106028002,406119002"
367363000,1,Right ventricular failure,Clinical finding,"415992005,84114007"
414254005,1,Finding of frequency of sexual activity,Clinical finding,285058000
46040000,1,Ulceration of colon,Clinical finding,"235766003,67401000119103"
301827008,1,Lesion of bronchus,Clinical finding,301229001
254936001,1,Glial tumor of brain,Clinical finding,"126952004,724807008"
443352005,1,Cranial dystonia,Clinical finding,15802004
269485000,1,Benign tumor of breast,Clinical finding,"126926005,255059002"
105645003,1,Disease due to Acanthamoebidae,Clinical finding,111910009
48301005,1,Congenital absence of finger,Clinical finding,"20948006,275348004,371199008"
212141007,1,Optic nerve and pathway injury,Clinical finding,80499003
83330001,1,Patent ductus arteriosus,Clinical finding,"234122004,297218007"
95618001,1,Neonatal respiratory depression,Clinical finding,"363225006,80954004"
365954007,1,Body color - finding,Clinical finding,118222006
447874007,1,Congenital abnormality of atrial septum,Clinical finding,"253363004,788533006"
237143006,1,Blocked fallopian tube,Clinical finding,128134005
67372006,1,Conjunctivitis due to acquired toxoplasmosis,Clinical finding,"13816006,18931000119103,735530009"
313132009,1,Finding of digit of hand,Clinical finding,116311003
88278002,1,Dysgraphia,Clinical finding,106145009
735446004,1,Hypersensitivity disorder of respiratory tract,Clinical finding,"473010000,50043002"
420054005,1,Alcoholic cirrhosis,Clinical finding,"425413006,713181003,721710005"
55510008,1,Cor triatriatum,Clinical finding,788533006
235734008,1,Small bowel fistula,Clinical finding,"119522002,38851006"
237995002,1,Depletion of mitochondrial DNA,Clinical finding,237986005
8619003,1,Infertile,Clinical finding,27034006
127403002,1,Red blood cell destruction finding,Clinical finding,"118228005,299691001"
309462008,1,Infection of big toe,Clinical finding,299989006
232064001,1,Wagner syndrome,Clinical finding,232062002
461440001,1,Congenital abnormality of systemic artery,Clinical finding,"234119001,301139003"
199296002,1,"Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium",Clinical finding,198609003
430933008,1,Uterine size for dates discrepancy,Clinical finding,289679007
109610001,1,Gingival abscess,Clinical finding,"18718003,235026006,300251004,300854002"
312149008,1,Fungal respiratory infection,Clinical finding,"275498002,3218000"
4949009,1,Motor skill disorder,Clinical finding,192562009
302122003,1,Work and retirement-related problems,Clinical finding,302768007
15402006,1,Calculus of pancreas,Clinical finding,"313413008,3855007"
289834006,1,Ovary finding,Clinical finding,"248842004,700006000"
35882009,1,Abnormality of forces of labor,Clinical finding,"106010004,118216002,12337004"
197887003,1,Bladder hemorrhage,Clinical finding,"417941003,42643001"
230655004,1,Idiopathic chronic neuropathy,Clinical finding,22722001
300287006,1,Esophageal mass,Clinical finding,"300286002,300855001"
249300001,1,Urethral finding,Clinical finding,106100005
282068002,1,Perforation of ileum,Clinical finding,"235741002,312895004"
365823009,1,Blood urate level - finding,Clinical finding,365822004
118228005,1,Functional finding,Clinical finding,404684003
722601005,1,White matter disorder caused by infection,Clinical finding,"128614008,22811006"
95913008,1,Drug action reversal,Clinical finding,69449002
188286001,1,Malignant tumor of hypothalamus,Clinical finding,"254968009,429033009"
126846004,1,Neoplasm of appendix,Clinical finding,"126837005,18526009,235771005"
724862004,1,Disorder of skin following procedure,Clinical finding,"312087002,95320005"
59475000,1,Pneumonia in pertussis,Clinical finding,"430395005,782715005"
118654009,1,Disorder characterized by edema,Clinical finding,"267038008,64572001"
235603003,1,Viral esophagitis,Clinical finding,"235600000,312131008"
79955004,1,Chronic cor pulmonale,Clinical finding,"10335000,83291003"
301139003,1,Systemic arterial finding,Clinical finding,248718009
12584003,1,Bone pain,Clinical finding,"118953000,279069000"
41256004,1,Presbyopia,Clinical finding,54552008
45352006,1,Spasm,Clinical finding,106030000
307496006,1,Diverticulitis,Clinical finding,128139000
18941000,1,Oppositional defiant disorder,Clinical finding,"3914008,54319003"
33064008,1,Disorder of sclera,Clinical finding,"246973008,371405004"
363005004,1,Cardiovascular system hereditary disorder,Clinical finding,"363137000,49601007"
74450001,1,Hyperchloremia,Clinical finding,75598001
90834002,1,Pain in limb,Clinical finding,"279001004,302293008"
21202004,1,Perinatal subarachnoid hemorrhage,Clinical finding,"21454007,276647007"
234194005,1,Vascular graft thrombosis,Clinical finding,"234190001,439129009"
56231002,1,Purpura annularis telangiectodes of Majocchi,Clinical finding,"11263005,1156729001,387778001,405539004,85461008"
93095003,1,Congenital hyperextension of limb,Clinical finding,"276655000,445144002,60475009"
9340000,1,"Bipolar I disorder, single manic episode",Clinical finding,371596008
17532001,1,Breech malpresentation successfully converted to cephalic presentation,Clinical finding,"106008001,80002007"
128124001,1,Congenital anomaly of central nervous system,Clinical finding,"23853001,88425004"
95356008,1,Mucosal ulcer,Clinical finding,"276320009,95346009,95351003"
359761005,1,Disease due to Hantavirus,Clinical finding,105632002
54822007,1,Jejunal ulcer,Clinical finding,"235710003,304370001"
714278008,1,Jejunal anastomotic hemorrhage,Clinical finding,"236096007,712509002"
298747001,1,Deformity of upper limb,Clinical finding,"116307009,445144002"
81659004,1,Psychological sign or symptom,Clinical finding,116367006
26576000,1,Positive skin test reaction,Clinical finding,57104001
