key,label
249355003,Nasal turbinate finding
18973006,Uterovaginal prolapse
30275001,Accessory kidney
123569004,Congenital anomaly of metatarsal bone
254730000,Superficial spreading malignant melanoma of skin
88157006,Salpingitis
21234008,Congenital stenosis of aorta
363463000,Malignant tumor of conjunctiva
64455005,Fracture of acetabulum
398155003,Chronic anterior uveitis
95388000,Injection site pain
58874000,Decreased cardiac stroke volume
237460007,Disorder of nipple
107650008,Color finding
13468005,Sensitive dentin
58524006,Acute pulmonary histoplasmosis
102892007,Neglected appearance
36209000,Chloasma
238748009,Sebaceous hyperplasia
166649005,Gamma-glutamyl transferase level abnormal
48440001,Articular gout
3441005,Disorder of sebaceous gland
94068003,Primary malignant neoplasm of spinal cord
300247001,Finding of moistness of tongue
77692006,Hypersomnia
93030006,Congenital absence of spleen
43763009,Glossopharyngeal neuralgia
44169009,Loss of sense of smell
312902008,Macular pseudohole
417563003,Lacrimal sac granuloma
300241000,Finding of appearance of oral mucosa
30704002,Butterfly rash
276464002,Injury of anus
16146001,Viral bronchitis
23414001,Peripheral demyelinating neuropathy
408663001,Conjunctivochalasis
126676009,Neoplasm of maxillary sinus
94665001,Secondary malignant neoplasm of uterus
118601006,Non-Hodgkin's lymphoma (clinical)
231834005,Malignant melanoma of eyelid
201726005,Arthropathy associated with non-infective gastrointestinal disorder
238888007,Fat necrosis
74351001,Reye's syndrome
230467008,Status migrainosus
449790007,Orofacial cleft
64324003,Phlegmonous dacryocystitis
92390008,Benign neoplasm of soft tissues of face
77768006,Intracranial hemorrhage following injury with open intracranial wound
230425004,Lafora disease
237836003,Short stature disorder
17433009,Ruptured ectopic pregnancy
87065009,Dystrophia unguium
128287004,Chronic peptic ulcer
77038006,Tuberculosis of peripheral lymph nodes
14302001,Amenorrhea
15165002,Urethrorectal fistula
40600002,Pneumococcal bronchitis
23115009,Ruptured aneurysm of artery
14189004,Measles
102957003,Neurological finding
12010005,Osteodystrophy
68843000,Disease due to Arthropod
26399002,Ocular albinism
34630004,Pityriasis
72884006,Shunting vascular flow
46619002,Congenital heart block
86299006,Tetralogy of Fallot
309527000,Mass of lower limb
102466009,Increased susceptibility to infections
92439006,Benign neoplasm of thyroid gland
71959007,Elective mutism
370967009,Retinoblastoma
37356005,Myoclonic seizure
193004006,Epileptic automatism
102892007,Neglected appearance
398152000,Poor muscle tone
414823004,Neoplasm affecting hematopoietic structure
92118007,Benign neoplasm of gastrointestinal tract
421527008,Resistance to activated protein C due to Factor V Leiden
92091003,Benign neoplasm of esophagus
191169008,Hereditary elliptocytosis
25225006,Disease due to Adenovirus
237786003,Gynecological endocrinology disorder
58262005,Kwashiorkor
247950007,Sleep behavior finding
372103002,Carcinoma of glottis
167019000,Blood gases normal
13206009,Trachea displaced
93291001,Congenital hypoplasia of rib
109675004,Oroantral fistula
195212005,Brainstem stroke syndrome
37849005,Congenital uterine anomaly
301340007,Body odor finding
48661000,Peritonitis
95552009,Fibrosis of mesentery
126485001,Urticaria
278037002,Streptococcal cellulitis
300352008,Murphy's sign positive
399902003,Disorder of body cavity
473041004,Mechanical complication of implant
46826000,Rheumatic chorea
312148000,Fungal ear infection
279028009,Ovarian pain
74450001,Hyperchloremia
27151001,Post-laminectomy syndrome
275741008,Leukocytes in urine
442082004,Measurement finding within reference range
55444004,Transient neonatal neutropenia
92308005,Benign neoplasm of prostate
196764005,Duodenal scar
84116009,Compression injury of nerve
33129002,Postmastectomy lymphedema syndrome
266601003,Excessive and frequent menstruation
62914000,Cerebrovascular disease
44001008,Premature ejaculation
68158006,Cycloplegia
2622007,Infected ulcer of skin
300891008,Genital edema
1532007,Viral pharyngitis
76462000,Post-herpetic polyneuropathy
427300002,Vitreous loss
82769000,Necrosis of ovary
111379007,Mineral deficiency
297960002,Mass of skin
46956008,Systemic vasculitis
21134002,Disability
39912006,Hereditary spastic paraplegia
410813000,Contracture of palmar fascia
406616008,Streptococcus infection of the central nervous system
197821004,Ureteric polyp
95421005,Intercostal myalgia
165939003,Immunoglobulins abnormal
166702002,Raised serum calcium level
128189008,Mononeuropathy
447885009,Sarcoma of pelvis
135838004,Mis-shapen pelvis
94963005,Neoplasm of uncertain behavior of nervous system
201114008,Nail deformity
165479004,Poikilocytosis
95847005,Injury of muscle
118642009,Congenital anomaly of the urinary tract proper
77628002,Retinal vasculitis
448065006,Congenital abnormality of systemic vein
167740005,CSF: glucose decreased
32572006,Physical handicap
57148006,Congenital anomaly of brain
65340007,Aneurysm of heart
105498005,Voluntarily redundant
31611000,Multiple personality disorder
16617009,Dysphonia
236085004,Gastrointestinal anastomotic leak
248718009,Arterial finding
386783003,Tic
128128003,Disorder of cerebral cortex
126634001,Neoplasm of jaw
72123004,Poverty of speech
417425009,Hemoglobin SS disease with crisis
49808004,Old-age
193237003,Myotonic disorder
11849007,AV junctional rhythm
53933002,Injury of facial nerve
82576008,Retained foreign body in eye
55999004,Encephalocele
275269004,Benign cerebral tumor
432519008,Increased cancer antigen 125
609609004,Paralytic syndrome of one limb
13370002,Plantar fascial fibromatosis
25658005,Disorder of vagina
105981003,Disorder of cardiac function
167183007,Creatinine clearance-glomerular filtration abnormal
396559007,Necrotic tumor
75236001,Anorectal abscess
308546005,Dissection of aorta
93725000,Primary malignant neoplasm of bone
249529000,Passage of meconium
44729001,Chronic inflammation of orbit
65209002,Basophilia
192044009,Stress reaction causing mixed disturbance of emotion and conduct
106169008,"Aphasia, agnosia, dyslexia AND/OR apraxia"
266262004,Arterial embolus and thrombosis
17585008,Atrophy of testis
57138009,Pseudopapilledema
286959000,Peripheral arterial embolism
237986005,Disorder of mitochondrial respiratory chain complexes
274531002,Abnormal findings diagnostic imaging heart+coronary circulat
82525005,Multiple congenital cysts of kidney
253955008,Congenital deformity of foot and ankle
248626009,Yawning
55608001,Prurigo simplex
10552002,Calcification of lung
235832002,Hollow visceral neuropathy
90688005,Chronic renal failure
402705006,Infective dermatosis of male genitalia
6456007,Supraventricular tachycardia
53439008,Abnormal hormone secretion
23685000,Rheumatic heart disease
53773002,Mucocele of appendix
440299000,Mass of thoracic structure
49584005,Acute cor pulmonale
37389005,Biliary colic
65354004,Fracture of bones of trunk
409589004,Scab of skin
64226004,Colitis
84706005,Disease due to Nematoda
27362007,Dyslogia
20842008,Luxation of eye
33719002,Subcutaneous rheumatoid nodule
238748009,Sebaceous hyperplasia
168887008,Hysterosalpingogram abnormal
29070004,Fibrosclerosis of breast
105612003,Injury of internal organ
18773000,Cyclical vomiting syndrome
86133004,Cestode infection
363515000,Malignant tumor of male genital organ
194335001,Partial loss / necrosis of ossicles
316358009,Injury of lung
128353007,Congenital anomaly of lens
20022000,Hemiparesis
48694002,Anxiety
3723001,Arthritis
204342004,Congenital atresia of pulmonary valve
312426003,Endocrine infection
302918009,Disorder of stoma
55996006,Disorder of mastoid
40136003,Aneurysm of subclavian artery
36406009,Cross infection
365933000,Mental alertness - finding
399957001,Peripheral arterial occlusive disease
106049001,Respiratory rate AND/OR rhythm finding
414285001,Allergy to food
371436007,Disorder of orbit proper
389088001,Hypoxia of brain
11378000,Persistent urogenital sinus
49120005,Retroperitoneal fibrosis
34997001,Petrositis
12193006,Avulsion of eye
110986000,Acquired digital fibrokeratoma
94602001,Secondary malignant neoplasm of vertebral column
414763006,Monoclonal band present
59698003,Disorder of conjunctiva
253120005,Lipomeningocele
312668007,Abnormal fetal heart rate
301252002,Finding of respiratory obstruction
17024001,Aortopulmonary window
17204006,Pneumoperitoneum
89097000,Labyrinthine fistula
166921001,Blood glucose normal
45237002,Congenital dilatation of aorta
199775005,Deep transverse arrest with antenatal problem
1155644000,Poisoning caused by metal and metal compound
83351003,Basilar migraine
365186001,Expression of emotions - finding
25822001,Pachymeningitis
56110009,Birth trauma
236011003,Retroperitoneal cyst
95454007,Brain stem hemorrhage
366575004,Extensor plantar response finding
111306001,Multiple lentigines syndrome
428360003,Arthropathy of joint of hand
95880003,Soft tissue infection
62436006,Abnormal jugular venous pressure
128121009,Disorder of trunk
80068009,Swelling of limb
302941001,Nonunion of fracture
36963005,Pedal osteitis
268363004,Auditory/vestibular test abnormal
61277005,Accelerated idioventricular rhythm
314531003,Burn of anterior eyeball segment
365417009,QT interval - finding
290653008,Postpartum hypopituitarism
416893007,Carbuncle
105497000,Threat of dismissal
284554003,Avulsion - injury
39595001,Crushing injury of lower limb
16934004,Renal vascular disorder
192775006,Late effects of intracranial abscess or pyogenic infection
56717001,Tuberculosis
56019007,Systemic disease
40863000,Moderate loss of consciousness
237963003,Disorder of galactose metabolism
95630007,Neonatal dyskinesia
239920006,Adult onset Still's disease
199132007,Pregnancy-related glycosuria
95394008,Injection site urticaria
721545000,Benign neoplasm of eye region
373425009,Corneal endotheliitis
15238002,Esophageal bleeding
246932007,Corneal epithelium finding
234425008,Autoimmune neutropenia
43548008,Mittelschmerz
735451005,Chronic viral hepatitis D
406619001,Infection due to Toxocara
83035003,Chylothorax
85670002,Vitamin deficiency
95323007,Scleredema
58459009,Sphingomyelin/cholesterol lipidosis
89392001,Prader-Willi syndrome
254865006,Fibroma of ovary
191816009,Drug dependence
128153000,Hemostatic system finding
9733003,Duodenogastric reflux
87557004,Urge incontinence of urine
166602006,Liver function tests normal
52954000,Schizoid personality disorder
79801002,Congenital leptomeningeal angiomatosis
302810003,Viral infection of central nervous system
300246005,Lesion of tongue
80711002,Narcissistic personality disorder
247977003,Social disinhibition
22447003,Raised jugular venous pressure
359643005,Enthesitis
38831007,Splenosis
126916003,Neoplasm of fallopian tube
65668001,Otorrhea
298287007,Finding of sensation of skeletal muscle
22490002,Bleeding from mouth
24079001,Atopic dermatitis
192644005,Meningococcal meningitis
233604007,Pneumonia
7724006,Nephritic syndrome
77956009,Steinert myotonic dystrophy syndrome
46536000,Tubo-ovarian inflammatory disease
43353004,Congenital anomaly of inner ear
723004005,Autoimmune bullous dermatosis
70190001,Peritoneal adhesion
49710005,Sinus bradycardia
197166005,Rectal abscess
298127003,Acquired calyceal diverticulum
367363000,Right ventricular failure
19471005,Lymphadenitis
53226007,Talipes planus
300286002,Lesion of esophagus
269485000,Benign tumor of breast
23166004,Cellulitis of pharynx
212141007,Optic nerve and pathway injury
83330001,Patent ductus arteriosus
95618001,Neonatal respiratory depression
301400000,Tenderness of body region
300098001,Mass in pinna
36925002,Obstruction of bronchus
13601005,Paranoid personality disorder
366130008,Chest expansion - finding
235999009,Intra-abdominal hematoma
237143006,Blocked fallopian tube
426144000,Engraftment reaction
67372006,Conjunctivitis due to acquired toxoplasmosis
16192003,Superovulation
128237006,Chronic disease of musculoskeletal system
88278002,Dysgraphia
420054005,Alcoholic cirrhosis
162318009,Life crisis
55510008,Cor triatriatum
237995002,Depletion of mitochondrial DNA
8619003,Infertile
232064001,Wagner syndrome
40095003,Injury of kidney
251015000,Coronary artery finding
105530003,Living in residential institution
33947007,Disease due to Togaviridae
430933008,Uterine size for dates discrepancy
109610001,Gingival abscess
70731005,Acidemia
20165001,Hyperphosphatemia
15402006,Calculus of pancreas
35882009,Abnormality of forces of labor
197887003,Bladder hemorrhage
238594009,Desiccation eczema
300287006,Esophageal mass
246611002,Median nerve entrapment
282068002,Perforation of ileum
128999004,Inflammatory disorder of digestive tract
22994000,Hyporeflexia
111817006,Infection by Shigella
441557008,Septic pulmonary embolism
95464003,Congenital absence of cranial vault
248035003,Shoplifting
126846004,Neoplasm of appendix
73375005,Ulcer of larynx
59475000,Pneumonia in pertussis
235603003,Viral esophagitis
79955004,Chronic cor pulmonale
32942005,Glanzmann's thrombasthenia
309685001,Swollen gums
91967007,Benign neoplasm of adrenal gland
78689005,Chronic brain syndrome
12584003,Bone pain
41256004,Presbyopia
116020001,Disorder of branched-chain amino acid metabolism
45352006,Spasm
307496006,Diverticulitis
18941000,Oppositional defiant disorder
33064008,Disorder of sclera
247236008,Pinna finding
70931000,Pathological resorption of tooth
74450001,Hyperchloremia
90834002,Pain in limb
52904006,Congenital anomaly of vagina
21202004,Perinatal subarachnoid hemorrhage
275481002,Non-suppurative otitis media
366153009,Palmomental reflex finding
69800000,Neonatal hepatitis
56231002,Purpura annularis telangiectodes of Majocchi
93095003,Congenital hyperextension of limb
75860007,Disorder of pharynx
283682007,Bite - wound
86353007,Hypocalciuria
19216006,Esophageal web
9340000,"Bipolar I disorder, single manic episode"
17532001,Breech malpresentation successfully converted to cephalic presentation
75375008,Bacterial enteritis
404640003,Dizziness
289257009,Mother not delivered
386033004,Neuropathy
46575009,Decreased flexion
95356008,Mucosal ulcer
92405007,Benign neoplasm of spinal cord
111451002,Obstetrical injury to pelvic organ
359761005,Disease due to Hantavirus
204821009,Congenital malformation of genital organs
430166008,Congenital anomaly of peripheral blood vessel
19636003,Monocytosis
105699008,Disease due to superfamily Thelazioidea
54822007,Jejunal ulcer
36989005,Mumps
44318002,Posthitis
10649000,Hyperpituitarism
106182000,Immune system finding
26576000,Positive skin test reaction
65275009,Acute cholecystitis
6096002,Breech presentation
67536000,Arthropathy associated with a neurological disorder
83920001,Selenium deficiency
50792001,Corneal erosion
268240006,Congenital torticollis
372244006,Malignant melanoma
73893000,Congenital toxoplasmosis
95899007,Drug action increased
266601003,Excessive and frequent menstruation
254708001,Eccrine porocarcinoma
249593009,Inguinal canal finding
8357008,Reduced libido
298314008,Finding related to coordination / incoordination
127313006,Injury of bile duct
87322003,Fibrosis of uterus
301210007,Lesion of larynx
126864006,Neoplasm of endocrine pancreas
254901000,Prostatic intraepithelial neoplasia
202331007,Glenoid labrum detachment
57935008,Epileptic aura
23332002,Failed trial of labor
29689003,Infective myositis
9209005,Acute abdomen
240376003,Tuberculosis of gastrointestinal tract
13197004,Contraception
93390002,Coloboma of eye
448610006,Hemangioma of face
59494005,Congenital septal defect of heart
18620009,Congenital sequestration of lung
64718006,Conjunctival xerosis
68574006,Cortical blindness
47437004,Mental handicap
363458004,Malignant tumor of ureter
394659003,Acute coronary syndrome
9635004,Late metabolic acidosis of newborn
186435004,Bacterial infection due to Klebsiella pneumoniae
196789004,Hyperplasia of appendix
79267007,Retinal migraine
90823000,Infantile eczema
24184005,Elevated blood pressure
108365000,Infection of skin
21709007,Choroid scar
72552008,Feeding problems in newborn
445269007,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma)
33449004,Personality disorder
276301007,Increased energy
25544003,Low output heart failure
237602007,Metabolic syndrome X
198903000,Placenta previa with hemorrhage
107647005,Weight finding
30967002,Thyrotoxic periodic paralysis
76023003,Impairment of urinary concentration
366161004,Venous pressure - finding
80119007,Pericarditis secondary to uremia
46154005,Decreased forced expiratory volume
16844001,Painful urging to urinate
230162007,Enteroviral encephalitis
240589008,Chlamydia trachomatis infection
4556007,Gastritis
264558008,Pelvic hematoma
8652009,Opisthotonus
276752006,Embryological remnant
36118008,Pneumothorax
187041005,Histoplasma capsulatum with endocarditis
35489007,Depressive disorder
402294001,Chapping of lips
90998002,Yellow color
442035006,Infection by Anisakidae
9078005,Polyp of vocal cord
196884002,Incisional hernia with obstruction
442098006,Mass of foot
42653000,Calcification of pericardium
70529004,Lymphoid hyperplasia of appendix
427296003,Thalamic infarction
13600006,Folliculitis
363161007,Infectious disorder of immune system
95520009,Gastrointestinal stenosis
94360002,Secondary malignant neoplasm of kidney
415692008,Bunion
49708008,Anemia of chronic renal failure
254702000,Basosquamous carcinoma of skin
86157004,Occupational lung disease
403198004,Lichenoid actinic keratosis
34287003,Sinus histiocytosis with massive lymphadenopathy
39905002,Scimitar syndrome
131089005,Increased thyroid hormone level
298366004,Finding of temporomandibular joint
274782002,Gamma-glutamyl transferase raised
40863000,Moderate loss of consciousness
95540002,Hemorrhage of colon
236775006,Acquired hydrocele
429998004,Vascular dementia
126879004,Neoplasm of urinary system
82351006,Craniotabes
284189009,Burn of larynx and/or trachea
36269003,Cheilodynia
365406008,Depth of anesthesia - finding
300878007,Swelling of oral cavity structure
363225006,Neonatal respiratory system disorder
278857002,Dementia of frontal lobe type
309779001,Meibomianitis
308857008,Esophageal dysplasia
37193007,Factor VII deficiency
188745007,Chronic monocytic leukemia
237897009,Vascular calcification
191733007,Fear of pregnancy
260246004,Visual acuity finding
111347003,Exostosis of jaw
398067003,Weil's disease
85514005,Phlebitis of portal vein
246650003,Movement of visual image - finding
230131008,Graft complications
396232000,Inguinal hernia
300284004,Finding of esophagus
44352004,Nonvenomous insect bite of hand with infection
236488005,Renal artery occlusion
363464006,Malignant tumor of cornea
131092009,Increased thyroxine level
91434003,Pulmonic valve regurgitation
128054009,Deep venous thrombosis of upper extremity
371773006,Emotional abuse
54682008,Congenital hypoplasia of pulmonary artery
5277004,Urinary casts
38323006,Fetal warfarin syndrome
448148000,Functioning pituitary neoplasm
89458003,Stupor
68978004,Hyperventilation
78420004,Viral enteritis
421895002,Peripheral vascular disorder due to diabetes mellitus
187987001,Malignant neoplasm of cartilage of ear
365604004,Finding of vitamin B12 level
63102001,Visual disturbance
57160007,Felty's syndrome
301282008,Finding of respiration
302231008,Salmonella infection
68575007,Disorder of ciliary body
93980002,Primary malignant neoplasm of rectosigmoid junction
196380002,Dentofacial anomaly
17440005,Anal spasm
234141001,Congenital arteriovenous malformation
3239007,Lymphocyte disorder
280111008,Vascular disorder of corpus cavernosum
67569000,Bronchopulmonary dysplasia of newborn
188188009,Choriocarcinoma
26609002,Neuralgic amyotrophy
128524007,Disorder of colon
232340005,Disorder of nasal cavity
126643005,Neoplasm of intra-abdominal organs
365811003,Glucose level - finding
86110000,Rumination - thoughts
102598000,Clammy skin
34801009,Ectopic pregnancy
27718001,Maple syrup urine disease
87235005,Dialysis disequilibrium syndrome
92056006,Benign neoplasm of uterine cervix
225478005,Verbally abusive behavior
12962009,Histoplasmosis
279926005,Fear of needles
73301000,Febrile transfusion reaction
89164003,Breast lump
51611005,Chronic urticaria
70679005,Abnormal central venous pressure
126487009,Subcutaneous fat disorder
276891009,Lipoma of breast
609631007,Finding of sacral region
18336000,Open fracture of upper limb
424551004,Bacterial cystitis
3716002,Goiter
110282008,Drug-induced lesion
450376009,Hemorrhage of intracranial meningeal space
300101002,Bleeding pinna
274891006,Finding of abnormal level of heavy metals in blood
118945008,Disorder of skull
125157000,Satisfactory for evaluation but limited by absence of an endocervical/transformation zone component from a patient with a cervix
400210000,Hemangioma
50143004,Kernicterus of newborn
84471002,Slowing of urinary stream
66383009,Gingivitis
191727003,Post measles pneumonia
118250006,Voice finding
267543009,Functional disorders of polymorphonuclear neutrophils
95684005,Choroid tubercles
766955008,Obstruction of vein
421529006,Dementia associated with AIDS
60658009,Stenosis of rectum
126705004,Neoplasm of bronchus
418143002,Cerebral degeneration
5286009,Congenital absence of vas deferens
249923006,Locking of joint
111541001,Benign paroxysmal positional vertigo
47384003,Tropical sprue
191670008,Shared paranoid disorder
420120006,Gastrointestinal stromal tumor
37465004,Plasmacytosis
53741008,Coronary arteriosclerosis
19138001,Epidermodysplasia verruciformis
78317008,XXXY syndrome
39419009,Hypovolemic shock
366222002,Finding related to eruption of tooth
60098005,Cyst of vulva
218190002,Exposure to radiation
92048008,Benign neoplasm of central nervous system
123799005,Renovascular hypertension
301918006,Finding of appearance of eyeball
271326004,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx"
68716001,Situs inversus abdominalis
81004002,Leprosy
448882009,Malignant neoplasm of intraabdominal organ
201144006,Alopecia hereditaria
124734007,Perineal finding
48236007,Asherman syndrome
236652008,Postoperative retention of urine
165143003,Endoscopy abnormal
87628006,Bacterial infectious disease
87361006,Left shifted white blood cells
1345007,Hang nail
5441008,Tinea capitis
367391008,Malaise
413834006,Chronic disease of immune function
93816002,Primary malignant neoplasm of glottis
11282001,Homocystinuria
127039000,Acquired hemoglobinopathy
2554006,Acute purulent pericarditis
128613002,Seizure disorder
88213004,Hyperaldosteronism
50620007,Autonomic neuropathy due to diabetes mellitus
8976003,Tenonitis
161941007,Dyspnea at rest
235622007,Esophageal web / ring
201066002,Skin striae
26284000,Ulcer of mouth
443094001,Paroxysmal hemicrania
59401005,Cyst of fallopian tube
20842008,Luxation of eye
16114001,Fracture of ankle
92817004,Chronic myeloid leukemia in remission
14911005,Subphrenic interposition syndrome
79631006,Absence seizure
111691006,Crushing injury of multiple sites
277571004,B-cell acute lymphoblastic leukemia
106100005,Lower urinary tract finding
236634008,Bladder muscle dysfunction - underactive
441742003,Evaluation finding
116315007,Finding of ankle region
442281000,X-ray of gastrointestinal tract abnormal
232425007,Tonsillar hemorrhage
15729721000119100,Arthropathy of bilateral hip joints
74942003,Echinococcosis
95422003,Hemorrhage of muscle
77480004,Congenital biliary atresia
1214006,Infection by Strongyloides
70673006,Abnormal innervation syndrome
69518005,Congenital anomaly of digestive system
50792001,Corneal erosion
38504003,Impaired judgement
218728005,Interrupted aortic arch
396332003,Rheumatism
236432001,Pulmonary renal syndrome
69437003,Abnormal foot pulse
363346000,Malignant neoplastic disease
200835003,Sunburn of third degree
61035004,Burn of trachea
300297002,Mass of stomach
167741009,CSF: glucose increased
321000161101,Open wound of skin
10893003,Tuberculous adenitis
79890006,Loss of appetite
52600004,Osmolality disturbance
5758002,Bacteremia
108111000119103,Acquired anomaly of mouth
24807004,Bleeding gastric varices
2469009,Onychomalacia
5984000,"Fetal or neonatal effect of malpresentation, malposition and/or disproportion during labor and/or delivery"
233703007,Interstitial lung disease
31297008,Somatoform disorder
86247009,Dilatation of intestine
721788005,Encephalitis caused by Rubulavirus
15630851000119103,Bilateral uveitis of eyes
92653004,Carcinoma in situ of male genital organ
165568006,Prothrombin time abnormal
234062003,Pulmonary vein stenosis
105697005,Disease due to superfamily Heterocheiloidea
76220009,Mixed acid-base balance disorder
253236002,Congenital malformation of vitreous humor
723166008,Acute erythematous eruption of skin
2918000,Infection due to Bacteroides
366062008,General reaction to light - finding
253966001,Congenital anomaly of foot
235747003,Amebic colitis
93030006,Congenital absence of spleen
43878008,Streptococcal sore throat
238490002,Pressure-induced dermatosis
111910009,Amebic infection
42265009,Idiopathic urticaria
17467004,Hypertrophy of nasal turbinates
238090007,Hypolipidemia
3344003,Toxic labyrinthitis
371984007,Primary malignant neoplasm of esophagus
301470001,Tympanic membrane inflamed
